Variable,Total,ie_label = 0,ie_label = 1
N,6307,5740,567
ie_label,,,
  0,5740 (91%),5740 (100%),0 (0%)
  1,567 (9%),0 (0%),567 (100%)
  Missing,0 (0%),0 (0%),0 (0%)
gender,,,
  F,3076 (49%),2851 (50%),225 (40%)
  M,3231 (51%),2889 (50%),342 (60%)
  Missing,0 (0%),0 (0%),0 (0%)
race,,,
  Asian,136 (2%),125 (2%),11 (2%)
  Black / African American,779 (12%),710 (12%),69 (12%)
  Hispanic / Latino,248 (4%),213 (4%),35 (6%)
  Missing,1589 (25%),1589 (28%),0 (0%)
  Other,231 (4%),201 (4%),30 (5%)
  Unknown,130 (2%),114 (2%),16 (3%)
  White,3194 (51%),2788 (49%),406 (72%)
anchor_age,,,
  Mean (SD),57.2 (19.3),57.4 (19.4),55.9 (18.0)
  Median [Q1-Q3],59.0 [43.0-72.0],59.0 [43.0-73.0],58.0 [41.0-69.0]
  Missing,0 (0%),0 (0%),0 (0%)
temperature,,,
  Mean (SD),98.3 (1.2),98.2 (1.2),98.6 (1.4)
  Median [Q1-Q3],98.1 [97.6-98.7],98.1 [97.6-98.6],98.4 [97.7-99.3]
  Missing,513 (8%),448 (8%),65 (11%)
heartrate,,,
  Mean (SD),86.7 (18.5),86.2 (18.4),92.0 (19.2)
  Median [Q1-Q3],85.0 [73.0-99.0],84.0 [73.0-98.0],92.0 [79.0-104.0]
  Missing,388 (6%),338 (6%),50 (9%)
resprate,,,
  Mean (SD),18.0 (2.8),18.0 (2.8),18.4 (3.1)
  Median [Q1-Q3],18.0 [16.0-18.0],18.0 [16.0-18.0],18.0 [16.0-20.0]
  Missing,445 (7%),390 (7%),55 (10%)
o2sat,,,
  Mean (SD),97.9 (2.4),97.9 (2.4),97.8 (2.3)
  Median [Q1-Q3],98.0 [97.0-100.0],98.0 [97.0-100.0],98.0 [96.0-100.0]
  Missing,445 (7%),391 (7%),54 (10%)
sbp,,,
  Mean (SD),133.6 (23.9),134.4 (23.9),125.1 (22.7)
  Median [Q1-Q3],132.0 [117.0-148.0],133.0 [118.0-149.0],124.0 [108.0-139.0]
  Missing,407 (6%),361 (6%),46 (8%)
dbp,,,
  Mean (SD),75.3 (15.2),75.8 (15.1),70.0 (15.0)
  Median [Q1-Q3],75.0 [64.0-85.0],75.0 [65.0-86.0],69.0 [60.0-80.0]
  Missing,426 (7%),378 (7%),48 (8%)
acuity,,,
  Mean (SD),2.4 (0.7),2.4 (0.7),2.2 (0.6)
  Median [Q1-Q3],2.0 [2.0-3.0],2.0 [2.0-3.0],2.0 [2.0-3.0]
  Missing,149 (2%),131 (2%),18 (3%)
